status,gene-symbol,UMLS_by_symbol,gene-name,UMLS_by_name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,KRR1,C1825740,"KRR1, small subunit (SSU) processome component, homolog (yeast)",C1334043,,12,"Rare Single Gene Mutation, Genetic Association",2.0,0,,3
9,KRT26,C1825744,keratin 26,C0010803,,17,Rare Single Gene Mutation,2.0,0,,4
9,LAMA1,C1416775,"Laminin, alpha 1",C0022984,,18,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,0,,16
9,LAMB1,C1416780,"laminin, beta 1",C0022984,,7,"Rare Single Gene Mutation, Genetic Association",2.0,0,,11
9,LARP1,C1825786,"La ribonucleoprotein 1, translational regulator",C4553537,,5,Rare Single Gene Mutation,3.0,0,,4
9,LAS1L,C1537526,LAS1 like ribosome biogenesis factor,C1428880,,X,"Rare Single Gene Mutation, Syndromic",3.0,0,,7
9,LDB1,C1416809,LIM domain binding 1,C0449205,,10,Rare Single Gene Mutation,1.0,0,4.0,4
9,LDLR,C1366529,low density lipoprotein receptor,C0034821,,19,Rare Single Gene Mutation,3.0,0,,4
9,LEMD3,C1537562,LEM domain containing 3,C1514562,,12,Rare Single Gene Mutation,2.0,0,,4
9,LEO1,C1825809,"LEO1 homolog, Paf1/RNA polymerase II complex component",C1704982,,15,Rare Single Gene Mutation,2.0,0,,5
9,LEP,C1416825,Leptin,C0299583,,7,Rare Single Gene Mutation,2.0,0,,1
9,LHX2,C1334338,LIM homeobox 2,C1334338,,9,"Rare Single Gene Mutation, Syndromic",2.0,0,,5
9,LILRB2,C1416858,leukocyte immunoglobulin like receptor B2,C1416858,,19,Rare Single Gene Mutation,2.0,0,,4
9,LIN7B,C1425076,"lin-7 homolog B, crumbs cell polarity complex component",C1825819,,19,Rare Single Gene Mutation,2.0,0,,3
9,LMTK3,C1426148,lemur tyrosine kinase 3,C1426148,,19,"Rare Single Gene Mutation, Functional",3.0,0,,6
9,LMX1B,C1416890,LIM homeobox transcription factor 1 beta,C0330390,,9,"Rare Single Gene Mutation, Genetic Association",2.0,0,,4
9,LNPK,C1427645,"lunapark, ER junction formation factor",C1427645,,2,"Rare Single Gene Mutation, Syndromic, Functional",,1,,5
9,LRBA,C1413266,"LPS-responsive vesicle trafficking, beach and anchor containing",C1293132,,4,Rare Single Gene Mutation,2.0,0,,11
9,LRFN2,C1427431,leucine rich repeat and fibronectin type III domain containing 2,C4277623,,6,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,7
9,LRFN5,C1426894,leucine rich repeat and fibronectin type III domain containing 5,C4277623,,14,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,7
9,LRP1,C1416912,LDL receptor related protein 1,C0051300,,12,Rare Single Gene Mutation,2.0,0,,12
9,LRP2,C1416914,LDL receptor related protein 2,C0284555,,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,0,,21
9,LRRC1,C1422560,leucine rich repeat containing 1,C1422560,,6,"Rare Single Gene Mutation, Genetic Association",2.0,0,,7
9,LRRC4,C1423596,leucine rich repeat containing 4,C1422560,,7,"Rare Single Gene Mutation, Functional",2.0,0,,5
9,LRRC4C,C1825875,leucine rich repeat containing 4C,C1825875,,11,Rare Single Gene Mutation,1.0,0,1.25,3
9,LZTR1,C1416947,Leucine-zipper-like transcription regulator 1,C4285074,,22,"Rare Single Gene Mutation, Syndromic",1.0,0,,21
9,MACF1,C1422134,microtubule actin crosslinking factor 1,C1422134,,1,"Rare Single Gene Mutation, Syndromic, Functional",3.0,1,,12
9,MACROD2,C1424006,MACRO domain containing 2,C2984010,,20,"Rare Single Gene Mutation, Genetic Association",2.0,0,,25
9,MAGEC3,C1428266,MAGE family member C3,C1709015,,X,Rare Single Gene Mutation,1.0,0,,6
9,MAGEL2,C1416986,MAGE-like 2,C1416986,,15,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,,30
9,MAOA,C1417001,monoamine oxidase A,C0026454,,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,0,,21
9,MAOB,C1417002,monoamine oxidase B,C0026454,,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,0,,7
9,MAP1A,C1417003,microtubule associated protein 1A,C0026046,,15,Rare Single Gene Mutation,1.0,0,0.0,4
9,MAP1B,C1417004,microtubule associated protein 1B,C0026046,,5,"Rare Single Gene Mutation, Syndromic, Functional",2.0,0,,15
9,MAP4K1,C1417018,mitogen-activated protein kinase kinase kinase kinase 1,C0531165,,19,Rare Single Gene Mutation,3.0,0,,5
9,MAP4K4,C1367671,mitogen-activated protein kinase kinase kinase kinase 4,C1367671,,2,"Rare Single Gene Mutation, Syndromic",2.0,0,,2
9,MAPK3,C1366765,mitogen-activated protein kinase 3,C0082529,,16,"Rare Single Gene Mutation, Functional",2.0,0,,6
9,MAPK8IP1,C1417024,mitogen-activated protein kinase 8 interacting protein 1,C1417024,,11,Rare Single Gene Mutation,3.0,0,,4
9,MAPK8IP3,C1417026,mitogen-activated protein kinase 8 interacting protein 3,C1417024,,16,"Rare Single Gene Mutation, Syndromic",2.0,1,,11
9,MAPT,C1446659,microtubule associated protein tau,C0033684,,17,"Rare Single Gene Mutation, Genetic Association, Functional",3.0,0,,5
9,MARK1,C1417033,microtubule affinity regulating kinase 1,C0026046,,1,"Rare Single Gene Mutation, Genetic Association",2.0,0,,12
9,MARK2,C1414387,microtubule affinity regulating kinase 2,C0026046,,11,"Rare Single Gene Mutation, Functional",2.0,0,20.05,9
9,MAST1,C1537669,microtubule associated serine/threonine kinase 1,C0026046,,19,"Rare Single Gene Mutation, Syndromic",3.0,0,,5
9,MAST3,C1425970,microtubule associated serine/threonine kinase 3,C0026046,,19,"Rare Single Gene Mutation, Functional",3.0,0,,9
9,MBD1,C1417049,methyl-CpG binding domain protein 1,C0911529,,18,Rare Single Gene Mutation,2.0,0,,9
9,MBD3,C1417051,methyl-CpG binding domain protein 3,C1417051,,19,Rare Single Gene Mutation,2.0,0,,4
9,MBD4,C1417052,methyl-CpG binding domain protein 4,C1417052,,3,Rare Single Gene Mutation,2.0,0,,7
9,MBD5,C1426942,Methyl-CpG binding domain protein 5,C0911529,,2,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,46.6,48
9,MBD6,C1426943,Methyl-CpG binding domain protein 6,C0911529,,12,Rare Single Gene Mutation,2.0,0,,3
9,MBOAT7,C1423536,membrane bound O-acyltransferase domain containing 7,C2742256,,19,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,5.25,24
9,MCM4,C1334491,minichromosome maintenance complex component 4,C0008633,,8,Rare Single Gene Mutation,2.0,0,,4
